nx,ny,Re,dt,Tempo de execução(s)
32,32,100,0.01,0.689523
32,32,100,0.001,2.918440
32,32,400,0.01,1.712290
32,32,400,0.001,7.835221
32,32,1000,0.01,2.923796
32,32,1000,0.001,14.987872
64,64,100,0.01,"Didn't converge"
64,64,100,0.001,13.396878
64,64,400,0.01,7.573911
64,64,400,0.001,36.003345
64,64,1000,0.01,11.197413
64,64,1000,0.001,58.506608
128,128,100,0.01,"Didn't converge"
128,128,100,0.001,58.402426
128,128,400,0.01,"Didn't converge"
128,128,400,0.001,159.821181
128,128,1000,0.01,"Didn't converge"
128,128,1000,0.001,254.492845
