fatores_relax,it_64_100,it_64_400,it_128_100,it_128_400
0.1,50983,137619,51185,138442
0.2,52853,138400,52541,139173
0.3,54270,139212,54123,139906
0.4,55603,140187,55436,140643
0.5,57324,141226,56494,141706
0.6,58823,143025,57749,143416
0.7,59952,144093,59157,145643
0.8,60859,146998,60480,147746
0.9,61791,149023,61718,149659
1.0,62796,150852,62979,152330
1.1,63914,153095,64360,154291
1.2,65273,155070,65879,157320
1.3,66824,158613,67460,160183
1.4,68807,161852,69372,163891
1.5,71396,166213,71714,168062
1.6,76143,172871,74992,174314
1.7,86637,185859,80516,183642
1.8,108306,217280,94967,205846
1.9,160911,289349,145340,274671
2.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
